document_id,rule_id,classification,reason,rank,rules,rule_count,fiscal_year,company_code,document_number,document_type,posting_date,business_process,source,created_by,approved_by
6e308fc9-6d4f-482e-9275-d5791c718972,L1-01,hard_data_quality_or_posting_error,"차대변 합계 불일치 120,000",0,"L1-01,L1-02",2,2022,C001,C001-2022-000156,AA,2022-01-04 11:07:58,A2R,automated,SKRGER038,SYSTEM_AUTO_APPROVED
ba44688d-c452-4fe4-bb6e-6007eeef293f,L1-01,hard_data_quality_or_posting_error,"차대변 합계 불일치 571,851,882",0,"L1-01,L1-02",2,2022,C001,C001-2022-000158,AA,2022-01-04 17:54:36,A2R,automated,MTORRE037,FLPEZ058
4db5a381-5a74-4bed-b61f-d69737e6ebe8,L1-01,hard_data_quality_or_posting_error,"차대변 합계 불일치 157,408",0,"L1-01,L1-02",2,2022,C002,C002-2022-019054,KR,2022-07-25 21:02:11,P2P,manual,LMARTI014,GSNCHE019
c165944e-7836-442e-b8f7-4d45b657e48d,L1-01,hard_data_quality_or_posting_error,"차대변 합계 불일치 16,427,175",0,"L1-01,L1-02",2,2022,C002,C002-2022-019177,KR,2022-07-26 08:31:30,P2P,manual,ELAMBE004,GSNCHE019
162a0586-c4a4-4eda-a821-81433636f7c5,L1-01,hard_data_quality_or_posting_error,"차대변 합계 불일치 26,626",0,"L1-01,L1-02",2,2023,C001,C001-2023-000181,AA,2023-01-03 13:42:58,A2R,manual,LMARTI014,SSCOTT018
2e5a2c1c-599c-49a6-bcb3-91991133fea0,L1-01,hard_data_quality_or_posting_error,"차대변 합계 불일치 1,261,355",0,"L1-01,L1-02",2,2023,C002,C002-2023-018973,KR,2023-07-24 06:21:00,P2P,automated,HMUOZ015,SSCOTT018
2636b056-b9c9-448f-98da-1ba87a51fe01,L1-01,hard_data_quality_or_posting_error,"차대변 합계 불일치 1,098,900",0,"L1-01,L1-02",2,2023,,C001-2023-000182,AA,2023-01-03 16:56:52,A2R,manual,HMUOZ015,AWALKE019
1b7c9bf7-3f12-4087-90ea-875c382c0d00,L1-01,hard_data_quality_or_posting_error,"차대변 합계 불일치 4,122,730",0,"L1-01,L1-02",2,2023,,C002-2023-018970,KR,2023-07-24 09:13:18,P2P,automated,EMITCH012,GJOSHI020
1d878b04-8910-4959-8cca-132c51d9401d,L1-01,hard_data_quality_or_posting_error,"차대변 합계 불일치 2,631,949",0,"L1-01,L1-02",2,2024,C001,C001-2024-000002,AA,2024-01-01 16:35:15,A2R,manual,JRIVER001,PHAN001
4e4707ed-38db-4736-8d1e-10de49ffcf53,L1-01,hard_data_quality_or_posting_error,"차대변 합계 불일치 515,557",0,"L1-01,L1-02",2,2024,C001,C001-2024-000006,AA,2024-01-01 15:11:54,A2R,recurring,EMITCH012,SYSTEM_AUTO_APPROVED
1c19b7b7-cf65-48d7-afbb-764255eff989,L1-01,hard_data_quality_or_posting_error,"차대변 합계 불일치 319,820",0,"L1-01,L1-02",2,2024,C002,C002-2024-003210,HR,2024-02-06 13:32:27,H2R,automated,JMILLE013,GJOSHI020
c6694f2c-3fa3-43ec-bbd1-ae728d45ec89,L1-01,hard_data_quality_or_posting_error,"차대변 합계 불일치 22,739,580",0,"L1-01,L1-02",2,2024,C002,C002-2024-019359,KR,2024-07-29 16:59:27,P2P,automated,LALLEN035,AGUERR065
332a0cc3-bc74-4919-92a8-8711737a4ba6,L1-01,hard_data_quality_or_posting_error,"차대변 합계 불일치 11,100",0,"L1-01,L1-02",2,2024,C003,C003-2024-005605,HR,2024-03-01 15:55:07,H2R,manual,HMUOZ015,SSCOTT018
54e55c8f-7d1b-4db4-b966-221fde26249d,L1-02,reviewable_data_quality_gap,필수/보조 필드 누락: document_date,12,L1-02,1,2022,C001,C001-2022-000026,AA,2022-01-03 14:14:25,A2R,automated,ÁGONZL023,AGUERR065
844eb06b-fed5-4b8d-a49f-e3315ed6a446,L1-02,reviewable_data_quality_gap,필수/보조 필드 누락: fiscal_period,12,L1-02,1,2022,C001,C001-2022-000027,AA,2022-01-03 15:35:51,A2R,manual,JMILLE013,GSNCHE019
335acc16-f07a-4067-9278-44f9505f5b0d,L1-02,hard_data_quality_or_interface_error,핵심 필수필드 누락: posting_date,1,L1-02,1,2022,C001,C001-2022-000155,AA,,A2R,manual,GJOSHI020,LYOUNG017
6e308fc9-6d4f-482e-9275-d5791c718972,L1-02,hard_data_quality_or_interface_error,핵심 필수필드 누락: debit_amount,1,"L1-01,L1-02",2,2022,C001,C001-2022-000156,AA,2022-01-04 11:07:58,A2R,automated,SKRGER038,SYSTEM_AUTO_APPROVED
83e0f5de-3a59-465f-85fe-20b29d1301c2,L1-02,hard_data_quality_or_interface_error,핵심 필수필드 누락: credit_amount|debit_amount,1,L1-02,1,2022,C001,C001-2022-000157,AA,2022-01-04 16:12:19,A2R,manual,LMARTI014,SSCOTT018
ba44688d-c452-4fe4-bb6e-6007eeef293f,L1-02,hard_data_quality_or_interface_error,핵심 필수필드 누락: debit_amount|gl_account,1,"L1-01,L1-02",2,2022,C001,C001-2022-000158,AA,2022-01-04 17:54:36,A2R,automated,MTORRE037,FLPEZ058
589b930d-2a45-4158-9454-153e1ce0e157,L1-02,hard_data_quality_or_interface_error,핵심 필수필드 누락: fiscal_period|gl_account|posting_date,1,L1-02,1,2022,C001,C001-2022-000263,AA,,A2R,manual,STHAKU007,GSNCHE019
d3e5c395-b4d5-4a41-b8c8-166adebe95e7,L1-02,hard_data_quality_or_interface_error,핵심 필수필드 누락: gl_account,1,L1-02,1,2022,C001,C001-2022-006862,HR,2022-03-23 18:12:47,H2R,automated,EMITCH012,GJOSHI020
4972eefc-1b3d-4842-b108-19d60c2713dd,L1-02,hard_data_quality_or_interface_error,핵심 필수필드 누락: gl_account,1,L1-02,1,2022,C001,C001-2022-016220,SA,2022-06-27 17:05:48,R2R,automated,LYE025,SYSTEM_AUTO_APPROVED
793d9a38-e192-4cb2-96fb-047adc9e54b1,L1-02,reviewable_data_quality_gap,필수/보조 필드 누락: document_date,12,L1-02,1,2022,C001,C001-2022-020106,SA,2022-08-04 19:24:10,R2R,automated,SNGUYE034,SYSTEM_AUTO_APPROVED
