document_id,company_code,fiscal_year,fiscal_period,posting_date,semantic_scenario_id,business_process,document_type,source,counterparty_type,reference,line_count,debit_total,credit_total,top_gl_accounts,line_text_sample
e6c96b39-0393-41de-b8d8-61a2897582ab,C003,2023,4,2023-04-14 14:07:50,A2R_ASSET_ACQUISITION,A2R,AA,adjustment,Bank,FA-C003-2023-000152-C003-2023-AA-000257,8,1000.0,1000.0,"1500,2000,1550,1000",유형자산 취득 | C003:유형자산 취득 | 설비 취득 [AA] | C003:설비 취득
4c00fe03-9c29-4a23-8b9a-33d2ad80eb55,C003,2023,9,2023-09-25 07:30:01,A2R_ASSET_ACQUISITION,A2R,AA,automated,Bank,FA-C003-2023-000347,2,1012.0,1012.0,"1500,2900",C003:설비 취득 | C003:CAPEX 계상
3016d4e0-89af-468a-8884-720c31b039b3,C003,2023,1,2023-01-12 10:05:23,A2R_ASSET_ACQUISITION,A2R,AA,manual,Bank,FA-C003-2023-000255-C003-2023-AA-000025,4,1000.0,1000.0,"1500,2000",유형자산 취득 ref-AA | 설비 취득 ref-AA | C003:설비 취득 | CAPEX 계상 ref-AA
d56922cb-e29d-41e8-95c8-0ad0d4fb7a0f,C003,2024,2,2024-02-12 03:24:12,A2R_ASSET_ACQUISITION,A2R,AA,recurring,VendorFixedAsset,FA-C003-2024-000219-C003-2024-AA-000132,2,2590.0,2590.0,"1500,1000",유형자산 취득 [AA] | 설비 취득 [AA]
c101cc1c-a8fd-492e-8ef2-e269526d27d6,C001,2023,1,2023-01-29 13:43:12,A2R_ASSET_ACQUISITION,A2R,KR,adjustment,VendorFixedAsset,FA-C001-2023-000129,2,1000.0,1000.0,"1550,2900",C001:유형자산 취득 | C001:설비 취득
b4d47021-4a83-44f4-96cc-87385cbaac92,C003,2024,8,2024-08-28 05:21:08,A2R_ASSET_ACQUISITION,A2R,KR,automated,Bank,FA-C003-2024-000039-C003-2024-KR-004028,2,1148.0,1148.0,"1500,1000",설비 취득 ref-KR | 유형자산 취득 [KR]
ec49db76-84e4-46c4-8022-21e109ded722,C003,2024,6,2024-06-30 08:26:23,A2R_ASSET_ACQUISITION,A2R,KR,manual,InternalDepartment,FA-C003-2024-000203-C003-2024-KR-003049,2,1047.0,1047.0,"1550,1000",CAPEX 계상 ref-KR | CAPEX 계상 [KR]
07c12bf4-4931-4e42-9778-4a96b30fa58f,C003,2023,7,2023-07-27 02:24:34,A2R_ASSET_ACQUISITION,A2R,KR,recurring,VendorFixedAsset,FA-C003-2023-000131,4,104527.0,104527.0,"1500,1000,2000",설비 취득 | 유형자산 취득 ref-KR | C003:유형자산 취득
56e5e0fb-cd02-47aa-8a09-44f097e0c059,C003,2024,9,2024-09-02 14:06:57,A2R_DEPRECIATION,A2R,AF,adjustment,InternalDepartment,FA-C003-2024-000043-C003-2024-AF-001486,2,5197.0,5197.0,"6050,1510",C003:감가상각비 | C003:월차 감가상각
3e1e1d7e-7627-4181-9f49-a54fd21a385e,C003,2023,11,2023-11-19 15:35:20,A2R_DEPRECIATION,A2R,AF,automated,InternalDepartment,FA-C003-2023-000127-C003-2023-AF-001883,3,1000.0,1000.0,"1510,6000",월차 감가상각 [AF] | 월차 감가상각 | 상각비 계상 [AF]
afaab39d-6ca4-45f5-8650-9efdfcce176f,C001,2024,2,2024-02-21 16:47:27,A2R_DEPRECIATION,A2R,AF,manual,InternalDepartment,FA-C001-2024-000334-C001-2024-AF-000040,2,3195.0,3195.0,"6000,1510",C001:상각비 계상 | C001:감가상각누계액
afa38dd3-a856-4da4-8544-bf4790d69115,C003,2022,2,2022-02-03 03:35:21,A2R_DEPRECIATION,A2R,AF,recurring,InternalDepartment,FA-C003-2022-000238-C003-2022-AF-000176,4,2187.0,2188.0,"6000,1510",fixed asset depreciation batch | C003:감가상각비 | 감가상각비 [AF] | 상각비 계상 [AF]
019f6590-6f20-7e03-9dd0-41c591410ab0,C002,2023,10,2023-10-28 02:58:22,A2R_DEPRECIATION,A2R,SA,recurring,InternalDepartment,DEPR-202310-C002-0042,111,596959.0,596959.0,"6050,6000,1510",C002:상각비 계상 | C002:월차 감가상각 | 상각비 계상 [AF] | C002:감가상각누계액
23349763-e529-4a5f-b342-a64a557d64fc,C003,2023,1,2023-01-23 17:01:01,H2R_PAYROLL_ACCRUAL,H2R,HR,adjustment,Employee,EXP-C003-2023-000287-C003-2023-HR-000074,3,1000.0,1000.0,"5200,2120,2210",생산직 급여 ref-HR | C003:원천세 계상 | C003:복리후생비
b90e8b4f-f9ac-4d6a-9d11-bcea35a2bdbe,C002,2024,4,2024-04-11 08:50:33,H2R_PAYROLL_ACCRUAL,H2R,HR,automated,InternalDepartment,EXP-C002-2024-000052-C002-2024-HR-000167,2,1000.0,1000.0,"5200,2120",C002:직접 인건비 | 급여세 예수금 [HR]
af327879-1896-4246-8688-73f15c3d5757,C003,2024,4,2024-04-02 16:52:24,H2R_PAYROLL_ACCRUAL,H2R,HR,manual,TaxAuthority,EXP-C003-2024-000353,2,4128.0,4128.0,"5200,2210",직접 인건비 [HR] | C003:급여세 예수금
c2d53f2a-1e5c-4a90-b042-add5b863baaa,C003,2023,2,2023-02-27 13:42:02,H2R_PAYROLL_ACCRUAL,H2R,HR,recurring,TaxAuthority,EXP-C003-2023-000196,2,7611.0,7611.0,"6100,2120",월 급여 계상 ref-HR | 4대보험 회사부담분
1e053c28-2c1c-4ba4-962d-8da5a0e42ba2,C003,2022,12,2022-12-09 10:25:24,H2R_PAYROLL_PAYMENT,H2R,BK,adjustment,TaxAuthority,EXP-C003-2022-000438,2,1000.0,1000.0,"2210,1000",급여 이체 | 급여 대금 지급 ref-BK
e4347473-376b-499c-9cf0-4618a0018c40,C001,2022,1,2022-01-02 17:17:40,H2R_PAYROLL_PAYMENT,H2R,BK,automated,PayrollProvider,EXP-C001-2022-000485,2,1830.0,1830.0,"2210,1000",급여 대금 지급 [BK] | 급여 이체 [BK]
a0174284-7be8-4094-a3dc-86262df32b11,C003,2022,2,2022-02-11 10:28:17,H2R_PAYROLL_PAYMENT,H2R,BK,manual,Employee,EXP-C003-2022-000411,2,1000.0,1000.0,"2120,1000",원천세 납부 ref-BK | 원천세 납부 [BK]
ec661b9c-e0ea-4600-b17c-64a7e2c9ba4f,C001,2024,2,2024-02-21 05:04:56,H2R_PAYROLL_PAYMENT,H2R,BK,recurring,TaxAuthority,EXP-C001-2024-000637-C001-2024-BK-000223,2,1000.0,1000.0,"2120,1000",원천세 납부 | 급여 대금 지급 [BK]
600e9481-1453-46d5-a06d-35267a7fbb20,C002,2022,7,2022-07-05 16:52:25,H2R_PAYROLL_PAYMENT,H2R,HR,adjustment,TaxAuthority,EXP-C002-2022-000146,2,1000.0,1000.0,"2120,1000",C002:급여 대금 지급 | 급여 대금 지급
1997647b-87d7-4960-bd11-81c0bef2fa9b,C002,2023,3,2023-03-24 19:12:36,H2R_PAYROLL_PAYMENT,H2R,HR,automated,TaxAuthority,EXP-C002-2023-000259,2,1000.0,1000.0,"2210,1000",급여 대금 지급 [HR] | C002:급여 이체
0636f2c7-922f-406d-b6f8-bd37f0ad1252,C001,2024,5,2024-05-06 10:51:01,H2R_PAYROLL_PAYMENT,H2R,HR,manual,Bank,EXP-C001-2024-000558,2,1000.0,1000.0,"2210,1000",급여 이체 [HR] | 원천세 납부 [HR]
564d40e4-7182-4942-bfda-4e1dc8bda874,C003,2024,8,2024-08-15 00:22:01,H2R_PAYROLL_PAYMENT,H2R,HR,recurring,PayrollProvider,EXP-C003-2024-000594,3,13062.0,13063.0,"1000,2120",payroll accrual clearing | 급여 대금 지급 ref-HR | 원천세 납부 ref-HR
72a36413-8bcd-485b-8612-07caf83de400,C003,2024,6,2024-06-18 14:09:34,H2R_PAYROLL_PAYMENT,H2R,KZ,adjustment,Bank,EXP-C003-2024-000663,2,5669.0,5669.0,"2120,1000",급여 미지급금 반제 | 원천세 납부 [KZ]
ead25155-80a2-4145-875b-6959ca992db4,C003,2023,11,2023-11-30 13:46:14,H2R_PAYROLL_PAYMENT,H2R,KZ,automated,Bank,EXP-C003-2023-000477,2,1000.0,1000.0,"2120,1000",원천세 납부 [KZ] | 원천세 납부
6f1c6977-a34a-4c57-8611-17e05122d7bb,C003,2022,9,2022-09-23 16:12:40,H2R_PAYROLL_PAYMENT,H2R,KZ,manual,Employee,EXP-C003-2022-000670-C003-2022-KZ-000873,2,84542.0,84542.0,"2210,1000",원천세 납부 ref-KZ | 급여 미지급금 반제 [KZ]
f7a99c7a-4b83-4a88-8246-406c49fd0143,C002,2023,4,2023-04-25 22:30:25,H2R_PAYROLL_PAYMENT,H2R,KZ,recurring,Bank,EXP-C002-2023-000684,2,1000.0,1000.0,"2120,1000",급여 미지급금 반제 [KZ] | 원천세 납부 [KZ]
019f6590-648b-7f80-b124-6df26ee46e6e,C002,2023,3,2023-03-25 02:57:03,H2R_PAYROLL_PAYMENT,H2R,SA,automated,PayrollProvider,PAYRUN-202303-C002-0042,141,1005053.0,1005053.0,"2120,2210,1000",C002:급여 대금 지급 | 원천세 납부 [BK] | 원천세 납부 ref-BK | 급여 대금 지급 ref-HR
019f6590-6231-77d2-a3bd-54011335b1e9,C001,2023,10,2023-10-03 11:36:28,IC_INTERCOMPANY_SALE,Intercompany,IC,automated,IntercompanyAffiliate,IC202310000051,2,379700870.0,379700870.0,"1150,4000",내부거래 미수금 - 내부매출 2023년 4분기 | 내부매출 - 2023년 4분기
c837ecd4-b163-44c3-8ce0-4389d0c2a3e7,C001,2022,9,2022-09-26 11:30:35,O2C_CASH_RECEIPT,O2C,BK,adjustment,Bank,SO-C001-2022-000357,2,1000.0,1000.0,"1000,1100",고객 입금 반제 [BK] | 고객 입금 반제
de176b96-e1d5-436a-bf03-8129f3afae5c,C001,2024,3,2024-03-07 00:06:16,O2C_CASH_RECEIPT,O2C,BK,automated,Customer,SO-C001-2024-000152,3,44208.0,44208.0,"1100,1000",고객 입금 반제 [BK] | 매출채권 회수 ref-BK
492fd364-2be0-4e18-b0bc-88556640e894,C001,2024,4,2024-04-04 10:27:59,O2C_CASH_RECEIPT,O2C,BK,manual,Customer,SO-C001-2024-000177,3,1000.0,1000.0,"1100,1000",C001:매출채권 회수 | 매출채권 회수 ref-BK
46124c0b-be2e-434a-b4bf-175ba201d5f4,C003,2024,12,2024-12-30 13:25:55,O2C_CASH_RECEIPT,O2C,BK,recurring,Customer,SO-C003-2024-000751-C003-2024-BK-002326,2,20211.0,20211.0,"1000,1100",고객 입금 반제 ref-BK | 고객 대금 수금
40db6da9-e09b-4cbf-9874-71c7853b09b2,C003,2024,8,2024-08-12 10:35:57,O2C_CASH_RECEIPT,O2C,DZ,adjustment,Customer,SO-C003-2024-000244,2,1000.0,1000.0,"1000,1100",C003:매출채권 회수 | 매출채권 회수
701640f6-2835-4583-9da6-c9c474f7d093,C003,2023,2,2023-02-27 13:22:30,O2C_CASH_RECEIPT,O2C,DZ,automated,Bank,SO-C003-2023-001114,2,10489.0,10489.0,"1000,1100",C003:고객 입금 반제 | C003:고객 대금 수금
f2f7eb78-e6ca-4a81-861b-1139a702dc4c,C001,2024,6,2024-06-28 13:14:13,O2C_CASH_RECEIPT,O2C,DZ,manual,Customer,SO-C001-2024-000956,2,1000.0,1000.0,"1000,1100",고객 입금 반제 ref-DZ | C001:고객 대금 수금
a8364708-2a5e-48d4-a663-dccec81e3e00,C003,2023,7,2023-07-04 02:53:21,O2C_CASH_RECEIPT,O2C,DZ,recurring,Customer,SO-C003-2023-000514,2,3333.0,3333.0,"1000,1100",매출채권 회수 ref-DZ
228a5100-b33b-40fe-b245-cf6ee12a4fda,C001,2024,3,2024-03-12 09:15:38,O2C_CUSTOMER_INVOICE,O2C,DR,adjustment,Customer,SO-C001-2024-000837-C001-2024-DR-000753,2,1061.0,1061.0,"1100,4100",매출채권 인식 [DR] | C001:고객 매출 청구
e021820e-1528-45c9-a4dc-e012fa3125d7,C002,2023,11,2023-11-20 17:12:30,O2C_CUSTOMER_INVOICE,O2C,DR,automated,Customer,SO-C002-2023-000309-C002-2023-DR-002875,5,1100.0,1100.0,"1100,4000,2110",제품 매출 ref-DR | 제품 매출 [DR] | C002:제품 매출 | 매출세액
9ee924e1-3dbc-416c-80d2-344206f8eced,C001,2022,4,2022-04-19 14:09:04,O2C_CUSTOMER_INVOICE,O2C,DR,manual,Customer,SO-C001-2022-000129-C001-2022-DR-001095,2,162279.0,162279.0,"1100,4100",고객 매출 청구 ref-DR | 매출채권 인식
6c9eca71-71fe-422c-ab4d-d716da11389f,C002,2022,1,2022-01-17 12:10:20,O2C_CUSTOMER_INVOICE,O2C,DR,recurring,Customer,SO-C002-2022-000070-C002-2022-DR-000124,2,2265.0,2265.0,"1100,4000",고객 매출 청구 | C002:고객 매출 청구
d92acc6a-94cb-425e-8296-337bdad475ff,C001,2024,3,2024-03-31 14:43:22,P2P_PAYMENT,P2P,BK,adjustment,VendorOfficeSupplies,PO-C001-2024-001443,2,1122.0,1122.0,"2000,1000",구매대금 지급 [BK] | 거래처 대금 지급 [BK]
1de7f25f-880f-4473-84d4-9981998f0fd1,C001,2022,10,2022-10-11 10:27:34,P2P_PAYMENT,P2P,BK,automated,VendorOfficeSupplies,PO-C001-2022-000676,2,1000.0,1000.0,"2000,1000",거래처 대금 지급 ref-BK | 구매대금 지급 [BK]
2397337d-b938-4a80-9c61-617d593e2426,C001,2024,10,2024-10-16 11:45:18,P2P_PAYMENT,P2P,BK,manual,VendorRawMaterial,PO-C001-2024-000434,2,1096.0,1096.0,"2900,1000",구매대금 지급 ref-BK | 구매대금 지급 [BK]
f678f2e9-d72d-48d2-851d-fda92216668a,C002,2023,6,2023-06-03 00:10:00,P2P_PAYMENT,P2P,BK,recurring,VendorService,PO-C002-2023-001106,2,1000.0,1000.0,"2900,1000",거래처 대금 지급 [BK] | 구매대금 지급 ref-BK
6f196a49-32a7-49ef-a45b-ccf655393aaa,C003,2024,6,2024-06-26 09:23:30,P2P_PAYMENT,P2P,KZ,adjustment,VendorUtilities,PO-C003-2024-001745,2,18192.0,18192.0,"2200,1000",거래처 대금 지급 ref-KZ | C003:매입채무 결제
