document_id,company_code,fiscal_year,fiscal_period,posting_date,semantic_scenario_id,business_process,document_type,source,counterparty_type,reference,line_count,debit_total,credit_total,top_gl_accounts,line_text_sample
dc9cb3e5-7de6-4eaa-b26f-9355aea2f0f2,C001,2022,9,2022-09-01 14:38:31,A2R_ASSET_ACQUISITION,A2R,AA,adjustment,Bank,FA-C001-2022-000012-C001-2022-AA-000273,2,1000.0,1000.0,"1500,2000",설비 취득 | 설비 취득 ref-AA
7cfcfcf5-81bf-425d-8407-50da0c3194a0,C001,2022,9,2022-09-30 16:50:09,A2R_ASSET_ACQUISITION,A2R,AA,manual,InternalDepartment,FA-C001-2022-000082-C001-2022-AA-000304,3,5936.0,5935.0,"1550,2000,1000",유형자산 취득 [AA] | 설비 취득 ref-AA | CAPEX 계상 [AA]
289642bf-3dc3-4f47-8a89-82ae0433b40e,C001,2022,11,2022-11-29 12:10:02,A2R_ASSET_ACQUISITION,A2R,KR,adjustment,InternalDepartment,FA-C001-2022-000048-C001-2022-KR-016582,2,10624.0,10624.0,"1500,2000",설비 취득 [KR] | CAPEX 계상
bdbc743a-1b76-47ce-ad89-0fc1c4dca0bb,C001,2023,8,2023-08-22 16:31:23,A2R_ASSET_ACQUISITION,A2R,KR,manual,InternalDepartment,FA-C001-2023-000007-C001-2023-KR-011668,2,34115.0,34115.0,"1550,2900",CAPEX 계상 ref-KR | CAPEX 계상 [KR]
485eaabb-895f-484c-88f1-72dce2f8d8e6,C001,2022,9,2022-09-30 09:29:09,A2R_DEPRECIATION,A2R,AF,adjustment,InternalDepartment,FA-C001-2022-000104-C001-2022-AF-000710,2,1000.0,1000.0,"6050,1510",C001:월차 감가상각 | 월차 감가상각 [AF]
9b61c447-cd55-431a-ad09-f4d0045e5f17,C001,2023,2,2023-02-28 10:37:46,A2R_DEPRECIATION,A2R,AF,manual,InternalDepartment,FA-C001-2023-000087-C001-2023-AF-000151,2,1000.0,1000.0,"6050,1510",월차 감가상각 [AF] | 감가상각비 ref-AF
019f659a-a7c5-7101-ac12-f83cb994af62,C001,2024,8,2024-08-28 02:08:32,A2R_DEPRECIATION,A2R,SA,recurring,InternalDepartment,DEPR-202408-C001-0042,111,1569644.0,1569644.0,"6000,6050,1510",월차 감가상각 ref-AF | 월차 감가상각 [AF] | 감가상각비 ref-AF | 상각비 계상 ref-AF
009078fd-8df6-4ee9-a25c-7bb0b390fc03,C001,2024,10,2024-10-14 14:28:44,H2R_PAYROLL_ACCRUAL,H2R,HR,adjustment,TaxAuthority,EXP-C001-2024-000481-C001-2024-HR-001660,2,1000.0,1000.0,"6100,2120",월 급여 계상 [HR] | 원천세 계상 ref-HR
bbc99447-e218-4dfb-adc7-f40e8760978c,C001,2023,6,2023-06-28 10:13:41,H2R_PAYROLL_ACCRUAL,H2R,HR,automated,TaxAuthority,EXP-C001-2023-000175-C001-2023-HR-001024,4,1750.0,1750.0,"2120,5200,6100",생산직 급여 ref-HR | 월 급여 계상 | C001:원천세 계상 | 원천세 계상 [HR]
91ed0c44-fead-4738-be01-47118df6335b,C001,2023,10,2023-10-18 13:46:38,H2R_PAYROLL_ACCRUAL,H2R,HR,manual,InternalDepartment,EXP-C001-2023-000350-C001-2023-HR-001663,2,1140.0,1140.0,"5200,2120",생산직 급여 | 급여세 예수금
fb365c14-5364-4be8-9b6f-d0a6fc8de6f4,C001,2024,2,2024-02-19 14:17:12,H2R_PAYROLL_ACCRUAL,H2R,HR,recurring,InternalDepartment,EXP-C001-2024-000082-C001-2024-HR-000296,2,32362.0,32362.0,"6100,2210",월 급여 계상 | 직접 인건비
