document_id,company_code,fiscal_year,fiscal_period,posting_date,semantic_scenario_id,business_process,document_type,source,counterparty_type,reference,line_count,debit_total,credit_total,top_gl_accounts,line_text_sample
0591c77c-858e-4f81-9cfa-6bc889c951f0,C001,2024,5,2024-05-14 16:18:59,A2R_ASSET_ACQUISITION,A2R,AA,adjustment,VendorFixedAsset,FA-C001-2024-000010-C001-2024-AA-000014,2,1700.0,1700.0,"1550,2900",C001:CAPEX 계상 | 설비 취득 ref-AA
692fed77-3d91-434b-b2f1-23544312dc7f,C001,2024,1,2024-01-16 16:05:43,A2R_ASSET_ACQUISITION,A2R,AA,manual,InternalDepartment,FA-C001-2024-000001-C001-2024-AA-000002,2,1000.0,1000.0,"1550,1000",유형자산 취득 | C001:설비 취득
5919a518-5b02-4f04-822d-f21dba92f117,C001,2024,4,2024-04-08 14:10:15,A2R_ASSET_ACQUISITION,A2R,KR,adjustment,InternalDepartment,FA-C001-2024-000002-C001-2024-KR-000494,2,1120.0,1120.0,"1550,1000",C001:유형자산 취득 | 설비 취득 ref-KR
fecac9ee-a729-4813-bd26-11343aacfda4,C001,2024,9,2024-09-26 11:32:18,A2R_ASSET_ACQUISITION,A2R,KR,manual,InternalDepartment,FA-C001-2024-000005-C001-2024-KR-001332,2,1000.0,1000.0,"1550,2000",C001:CAPEX 계상 | C001:유형자산 취득
332f5cc5-8e95-43f6-922d-8e96de451d4f,C001,2024,4,2024-04-05 16:42:20,A2R_DEPRECIATION,A2R,AF,adjustment,InternalDepartment,FA-C001-2024-000013-C001-2024-AF-000028,2,1078.0,1078.0,"6050,1510",월차 감가상각 [AF] | 월차 감가상각
061c3ca4-2c4f-47df-9b77-6eb7cd62c795,C001,2024,6,2024-06-07 16:18:19,A2R_DEPRECIATION,A2R,AF,manual,InternalDepartment,FA-C001-2024-000002-C001-2024-AF-000047,4,29400.0,29400.0,"1510,6000,6050",감가상각비 [AF] | C001:상각비 계상 | 상각비 계상 [AF] | 감가상각누계액 ref-AF
019f6506-1145-7533-9c97-fd294775db90,C001,2024,5,2024-05-28 04:47:53,A2R_DEPRECIATION,A2R,SA,recurring,InternalDepartment,DEPR-202405-C001-0042,111,1910928.0,1910928.0,"6050,6000,1510",C001:상각비 계상 | 감가상각누계액 ref-AF | 감가상각비 ref-AF | 월차 감가상각
2d1dab92-9db0-4a09-b1f9-d02a438f156d,C001,2024,9,2024-09-28 14:16:03,H2R_PAYROLL_ACCRUAL,H2R,HR,adjustment,PayrollProvider,EXP-C001-2024-000024-C001-2024-HR-000164,2,1000.0,1000.0,"5200,2120",직접노무비 ref-HR | 원천세 계상
4ebdbf9d-e35a-4106-ba6b-23ead687338b,C001,2024,11,2024-11-19 15:18:39,H2R_PAYROLL_ACCRUAL,H2R,HR,automated,TaxAuthority,EXP-C001-2024-000057-C001-2024-HR-000197,2,11913.0,11913.0,"6100,2210",월 급여 계상 [HR] | 복리후생비 ref-HR
7c9243ee-7184-4d48-92db-35dc14910763,C001,2024,6,2024-06-17 16:02:17,H2R_PAYROLL_ACCRUAL,H2R,HR,manual,Employee,EXP-C001-2024-000054-C001-2024-HR-000102,2,32441.0,32441.0,"5200,2120",생산직 급여 | 급여세 예수금 [HR]
