combo,size,n,high,med_low,precision,recall
L3-02+L4-01,2,58,58,0,1.000,0.367
L2-02+L4-03,2,35,35,0,1.000,0.222
L4-01+L4-03,2,32,32,0,1.000,0.203
L1-05+L4-03,2,30,30,0,1.000,0.190
L3-02+L4-01+L4-03,3,30,30,0,1.000,0.190
L1-05+L3-02,2,27,27,0,1.000,0.171
L2-02+L3-02+L4-03,3,24,24,0,1.000,0.152
L1-05+L2-02+L4-03,3,19,19,0,1.000,0.120
L1-05+L3-02+L4-03,3,19,19,0,1.000,0.120
L3-02+L3-11+L4-01,3,19,19,0,1.000,0.120
L2-03+L4-01,2,17,17,0,1.000,0.108
L2-03+L3-02+L4-01,3,17,17,0,1.000,0.108
L3-11+L4-03,2,16,16,0,1.000,0.101
L4-01+L4-04,2,15,15,0,1.000,0.095
L1-05+L2-02+L3-02,3,15,15,0,1.000,0.095
L3-02+L4-01+L4-04,3,15,15,0,1.000,0.095
L3-02+L3-11+L4-03,3,14,14,0,1.000,0.089
L3-11+L4-01+L4-03,3,14,14,0,1.000,0.089
L3-02+L3-04+L4-01,3,13,13,0,1.000,0.082
L2-03+L4-01+L4-03,3,12,12,0,1.000,0.076
L2-05+L4-03,2,10,10,0,1.000,0.063
L1-07+L4-03,2,9,9,0,1.000,0.057
L4-03+L4-04,2,9,9,0,1.000,0.057
L1-05+L3-04+L4-03,3,9,9,0,1.000,0.057
L3-02+L4-03+L4-04,3,9,9,0,1.000,0.057
L1-06+L4-03,2,8,8,0,1.000,0.051
L3-09+L4-03,2,8,8,0,1.000,0.051
L1-05+L4-01,2,7,7,0,1.000,0.044
L1-06+L3-02,2,7,7,0,1.000,0.044
L1-05+L3-02+L3-04,3,7,7,0,1.000,0.044
L1-05+L3-02+L4-01,3,7,7,0,1.000,0.044
L2-05+L3-02+L4-03,3,7,7,0,1.000,0.044
L3-04+L4-01+L4-03,3,7,7,0,1.000,0.044
L1-05+L1-07,2,6,6,0,1.000,0.038
L1-05+L2-03,2,6,6,0,1.000,0.038
L2-02+L2-05,2,6,6,0,1.000,0.038
L2-04+L3-02,2,6,6,0,1.000,0.038
L1-06+L2-02+L4-03,3,6,6,0,1.000,0.038
L3-02+L3-03+L4-01,3,6,6,0,1.000,0.038
L1-06+L1-07,2,5,5,0,1.000,0.032
L2-02+L4-01,2,5,5,0,1.000,0.032
L2-03+L3-03,2,5,5,0,1.000,0.032
L3-03+L4-04,2,5,5,0,1.000,0.032
L2-02+L3-02+L4-01,3,5,5,0,1.000,0.032
L3-02+L3-03+L4-04,3,5,5,0,1.000,0.032
L1-05+L1-06,2,4,4,0,1.000,0.025
L2-02+L3-03,2,4,4,0,1.000,0.025
L2-03+L2-05,2,4,4,0,1.000,0.025
L2-03+L3-11,2,4,4,0,1.000,0.025
L2-04+L4-03,2,4,4,0,1.000,0.025
L3-03+L3-11,2,4,4,0,1.000,0.025
L1-05+L1-06+L2-02,3,4,4,0,1.000,0.025
L1-05+L1-07+L2-02,3,4,4,0,1.000,0.025
L1-05+L2-03+L3-02,3,4,4,0,1.000,0.025
L1-05+L2-03+L4-03,3,4,4,0,1.000,0.025
L1-06+L1-07+L2-02,3,4,4,0,1.000,0.025
L1-06+L2-02+L3-02,3,4,4,0,1.000,0.025
L1-07+L2-02+L4-03,3,4,4,0,1.000,0.025
L2-02+L3-09+L4-03,3,4,4,0,1.000,0.025
L2-03+L3-02+L3-11,3,4,4,0,1.000,0.025
L2-03+L3-11+L4-01,3,4,4,0,1.000,0.025
L2-04+L3-02+L4-03,3,4,4,0,1.000,0.025
L1-04,1,3,3,0,1.000,0.019
L1-05+L2-05,2,3,3,0,1.000,0.019
L1-05+L3-01,2,3,3,0,1.000,0.019
L1-06+L3-09,2,3,3,0,1.000,0.019
L1-07+L3-04,2,3,3,0,1.000,0.019
L2-02+L3-01,2,3,3,0,1.000,0.019
L2-02+L3-04,2,3,3,0,1.000,0.019
L2-03+L3-09,2,3,3,0,1.000,0.019
L2-03+L3-10,2,3,3,0,1.000,0.019
L2-05+L3-01,2,3,3,0,1.000,0.019
L2-05+L4-01,2,3,3,0,1.000,0.019
L3-01+L4-03,2,3,3,0,1.000,0.019
L3-03+L3-10,2,3,3,0,1.000,0.019
L3-11+L4-04,2,3,3,0,1.000,0.019
L1-05+L1-07+L3-02,3,3,3,0,1.000,0.019
L1-05+L2-02+L3-01,3,3,3,0,1.000,0.019
L1-05+L3-04+L4-01,3,3,3,0,1.000,0.019
L1-06+L1-07+L4-03,3,3,3,0,1.000,0.019
L1-06+L3-02+L4-03,3,3,3,0,1.000,0.019
L1-07+L3-02+L4-03,3,3,3,0,1.000,0.019
L1-07+L3-04+L4-03,3,3,3,0,1.000,0.019
L2-02+L2-05+L4-03,3,3,3,0,1.000,0.019
L2-03+L2-05+L3-02,3,3,3,0,1.000,0.019
L2-03+L2-05+L4-01,3,3,3,0,1.000,0.019
L2-03+L2-05+L4-03,3,3,3,0,1.000,0.019
L2-03+L3-02+L3-03,3,3,3,0,1.000,0.019
L2-03+L3-04+L4-03,3,3,3,0,1.000,0.019
L2-03+L3-09+L4-03,3,3,3,0,1.000,0.019
L2-05+L3-02+L4-01,3,3,3,0,1.000,0.019
L2-05+L4-01+L4-03,3,3,3,0,1.000,0.019
L3-02+L3-03+L3-11,3,3,3,0,1.000,0.019
L3-02+L3-11+L4-04,3,3,3,0,1.000,0.019
L3-03+L3-11+L4-01,3,3,3,0,1.000,0.019
L3-03+L4-01+L4-04,3,3,3,0,1.000,0.019
L2-02+L3-02,2,33,31,2,0.939,0.196
L3-02+L4-03,2,87,80,7,0.920,0.506
L1-06+L2-02,2,12,11,1,0.917,0.070
L3-02+L3-03,2,12,11,1,0.917,0.070
L2-03+L4-03,2,22,20,2,0.909,0.127
L3-02+L3-11,2,22,20,2,0.909,0.127
L2-05,1,19,17,2,0.895,0.108
L2-03+L3-02+L4-03,3,19,17,2,0.895,0.108
L3-02+L4-04,2,27,24,3,0.889,0.152
L3-02+L3-04+L4-03,3,18,16,2,0.889,0.101
L2-05+L3-02,2,9,8,1,0.889,0.051
L1-05,1,51,45,6,0.882,0.285
L2-03+L3-02,2,25,22,3,0.880,0.139
L1-05+L2-02,2,31,27,4,0.871,0.171
L1-05+L3-04,2,15,13,2,0.867,0.082
L2-03,1,35,30,5,0.857,0.190
L3-02+L3-03+L4-03,3,7,6,1,0.857,0.038
L4-03,1,128,108,20,0.844,0.684
L1-06,1,19,16,3,0.842,0.101
L3-02,1,138,116,22,0.841,0.734
L3-03+L4-03,2,12,10,2,0.833,0.063
L2-05+L3-04,2,6,5,1,0.833,0.032
