rule_id,input_units,emitted_units,caught_units,standard_input,standard_caught,standard_missed,evasion_input,evasion_caught,evasion_missed_phase2
L1-01,0,0,0,0,0,0,0,0,0
L1-02,0,0,0,0,0,0,0,0,0
L1-03,0,0,0,0,0,0,0,0,0
L1-04,0,104,0,0,0,0,0,0,0
L1-05,0,378,0,0,0,0,0,0,0
L1-06,0,10845,0,0,0,0,0,0,0
L1-07,0,80877,0,0,0,0,0,0,0
L1-08,0,0,0,0,0,0,0,0,0
L1-09,0,0,0,0,0,0,0,0,0
L2-01,0,9,0,0,0,0,0,0,0
L2-02,0,93,0,0,0,0,0,0,0
L2-03,0,4,0,0,0,0,0,0,0
L2-04,0,212,0,0,0,0,0,0,0
L2-05,0,324,0,0,0,0,0,0,0
L3-01,0,0,0,0,0,0,0,0,0
L3-02,0,29038,0,0,0,0,0,0,0
L3-03,0,542,0,0,0,0,0,0,0
L3-04,0,50302,0,0,0,0,0,0,0
L3-05,0,8872,0,0,0,0,0,0,0
L3-06,0,11557,0,0,0,0,0,0,0
L3-07,0,143,0,0,0,0,0,0,0
L3-08,0,0,0,0,0,0,0,0,0
L3-09,0,482,0,0,0,0,0,0,0
L3-10,0,680,0,0,0,0,0,0,0
L3-11,0,257,0,0,0,0,0,0,0
L3-12,0,0,0,0,0,0,0,0,0
L4-01,0,4,0,0,0,0,0,0,0
L4-02,0,0,0,0,0,0,0,0,0
L4-03,0,12857,0,0,0,0,0,0,0
L4-04,0,19,0,0,0,0,0,0,0
L4-05,0,9945,0,0,0,0,0,0,0
L4-06,0,1615,0,0,0,0,0,0,0
IC01,0,0,0,0,0,0,0,0,0
IC02,0,0,0,0,0,0,0,0,0
IC03,0,0,0,0,0,0,0,0,0
GR01,0,0,0,0,0,0,0,0,0
GR03,0,0,0,0,0,0,0,0,0
D01,0,0,0,0,0,0,0,0,0
D02,0,0,0,0,0,0,0,0,0
