document_id,company_code,fiscal_year,fiscal_period,posting_date,semantic_scenario_id,business_process,document_type,source,counterparty_type,reference,line_count,debit_total,credit_total,top_gl_accounts,line_text_sample
7d134f0d-5fd5-4f9a-81ec-4e57230a67a5,C001,2023,6,2023-06-30 14:53:27,A2R_ASSET_ACQUISITION,A2R,AA,adjustment,VendorFixedAsset,FA-C001-2023-000927-C001-2023-AA-002287,2,851100.0,851100.0,"1550,2900",CAPEX 계상 [AA]
622e986e-d81d-4f03-9151-f01681ded171,C001,2023,7,2023-07-04 16:26:32,A2R_ASSET_ACQUISITION,A2R,AA,automated,InternalDepartment,FA-C001-2023-000842-C001-2023-AA-002333,4,126881.0,126881.0,"1550,1500,2000,2900",C001:설비 취득 | CAPEX 계상 [AA] | 설비 취득 [AA]
f813c30d-2e8c-49e3-b185-6c3e7450ce90,C001,2024,10,2024-10-31 13:41:20,A2R_ASSET_ACQUISITION,A2R,AA,manual,InternalDepartment,FA-C001-2024-001203-C001-2024-AA-003937,2,84851023.0,84851023.0,"1550,2000",유형자산 취득 ref-AA | 설비 취득
a78a6f93-4643-4315-8673-a9dd6b3199fd,C001,2022,7,2022-07-18 18:20:28,A2R_ASSET_ACQUISITION,A2R,AA,recurring,VendorFixedAsset,FA-C001-2022-000135-C001-2022-AA-002525,2,1635165.0,1635165.0,"1550,2000",설비 취득 | 유형자산 취득 ref-AA
53545c41-d84e-4c23-8907-91457080b633,C001,2022,11,2022-11-17 10:35:13,A2R_ASSET_ACQUISITION,A2R,KR,adjustment,VendorFixedAsset,FA-C001-2022-001016-C001-2022-KR-006731,2,19631467.0,19631467.0,"1550,1000",설비 취득 ref-KR | CAPEX 계상 [KR]
c61a5afa-cdc0-4f42-b822-10d1aacd2716,C001,2024,9,2024-09-17 08:45:36,A2R_ASSET_ACQUISITION,A2R,KR,automated,InternalDepartment,FA-C001-2024-000952-C001-2024-KR-005429,2,64251.0,64251.0,"1550,2000",설비 취득 [KR] | 유형자산 취득
c8c32f04-3b89-43b3-8abb-1932744b5124,C001,2022,3,2022-03-17 19:44:16,A2R_ASSET_ACQUISITION,A2R,KR,manual,VendorFixedAsset,FA-C001-2022-000777,2,2416000.0,2416000.0,"1500,2000",CAPEX 계상 [KR] | 설비 취득 [KR]
1448eba9-7275-4cc9-adc5-ba3c5016a824,C001,2022,7,2022-07-25 13:04:24,A2R_ASSET_ACQUISITION,A2R,KR,recurring,VendorFixedAsset,FA-C001-2022-000007-C001-2022-KR-004329,2,52671967.0,52671967.0,"1550,2000",C001:CAPEX 계상 | 유형자산 취득 [KR]
89e867b4-e7e7-4a83-864d-2fcc6cedabb9,C001,2024,11,2024-11-29 16:44:47,A2R_DEPRECIATION,A2R,AF,adjustment,InternalDepartment,FA-C001-2024-000683-C001-2024-AF-009362,3,161614.0,161614.0,"1510,6050",감가상각누계액 ref-AF | 월차 감가상각 ref-AF | C001:월차 감가상각
a821469a-32bc-45d6-a85b-6328c221cabe,C001,2022,11,2022-11-26 00:10:59,A2R_DEPRECIATION,A2R,AF,automated,InternalDepartment,FA-C001-2022-001317-C001-2022-AF-009487,2,2802956.0,2802956.0,"6000,1510",C001:감가상각비 | C001:상각비 계상
435cba1b-09cb-464d-8757-37503c1caf21,C001,2024,12,2024-12-12 10:06:56,A2R_DEPRECIATION,A2R,AF,manual,InternalDepartment,FA-C001-2024-000445-C001-2024-AF-009621,8,14009000.0,14009000.0,"6000,1510",감가상각비 ref-AF | 월차 감가상각 [AF] | 감가상각누계액 ref-AF | 감가상각비 [AF]
999c72f0-5676-47e4-9c91-ae7273f3dbc3,C001,2024,6,2024-06-28 02:06:43,A2R_DEPRECIATION,A2R,AF,recurring,InternalDepartment,FA-C001-2024-001488-C001-2024-AF-005022,3,98347.0,98347.0,"1510,6050",월차 감가상각 | 감가상각비 ref-AF
019f6625-1b31-7f52-895d-40a7daa1e28b,C001,2022,5,2022-05-28 05:59:41,A2R_DEPRECIATION,A2R,SA,recurring,InternalDepartment,DEPR-202205-C001-2024,111,852295231.0,852295231.0,"6000,6050,1510",C001:상각비 계상 | 상각비 계상 [AF] | 감가상각비 ref-AF | 감가상각누계액 ref-AF
7d526509-c11e-4116-bbfe-d801e8f44a97,C001,2022,11,2022-11-22 15:44:21,H2R_PAYROLL_ACCRUAL,H2R,HR,adjustment,PayrollProvider,EXP-C001-2022-001309,2,59999.0,59999.0,"5200,2120",직접노무비 [HR] | C001:원천세 계상
0617de42-4265-4871-b5d9-35cf0fcc90fc,C001,2024,3,2024-03-27 10:20:40,H2R_PAYROLL_ACCRUAL,H2R,HR,automated,PayrollProvider,EXP-C001-2024-000774-C001-2024-HR-000981,2,724332440.0,724332440.0,"5200,2210",C001:직접노무비 | 월 급여 계상 [HR]
