document_id,company_code,fiscal_year,fiscal_period,posting_date,semantic_scenario_id,business_process,document_type,source,counterparty_type,reference,line_count,debit_total,credit_total,top_gl_accounts,line_text_sample
c6d16ce4-be1b-4e0a-b62a-fcb679a331fe,C001,2024,7,2024-07-08 14:23:44,A2R_ASSET_ACQUISITION,A2R,AA,adjustment,VendorFixedAsset,FA-C001-2024-000258,2,5573850.0,5573850.0,"1500,2000",C001:설비 취득 | C001:유형자산 취득
005f2bfb-e481-43d8-8037-2f6dfa2f6f8d,C001,2022,8,2022-08-19 09:05:27,A2R_ASSET_ACQUISITION,A2R,AA,automated,InternalDepartment,FA-C001-2022-000641-C001-2022-AA-000347,2,783942.0,783942.0,"1500,1000",CAPEX 계상 ref-AA | 설비비 취득 ref-AA
e54ef4d4-5060-4be4-80e8-a3d27bf54b01,C001,2024,1,2024-01-04 17:58:00,A2R_ASSET_ACQUISITION,A2R,AA,manual,VendorFixedAsset,FA-C001-2024-000531-C001-2024-AA-000008,2,1123059.0,1123059.0,"1550,2900",설비 취득 [AA] | C001:CAPEX 계상
4cbefc8a-80c4-4d21-8bc8-af6862e89044,C001,2024,8,2024-08-31 07:45:42,A2R_ASSET_ACQUISITION,A2R,AA,recurring,VendorFixedAsset,FA-C001-2024-001002,2,25619724.0,25619724.0,"1550,2000",asset register recurring run | 설비 취득 ref-AA
9dbf240b-a1d1-438e-a5e7-04dea2fca513,C001,2022,7,2022-07-26 17:21:47,A2R_ASSET_ACQUISITION,A2R,KR,adjustment,VendorFixedAsset,FA-C001-2022-000217,4,755320.0,755320.0,"1550,2900",C001:CAPEX 계상 | 유형자산 취득 [KR] | 유형자산 취득 ref-KR | C001:설비 취득
4dd7dc78-35ef-4c36-9c77-bd3c3032a6b6,C001,2022,10,2022-10-21 18:30:00,A2R_ASSET_ACQUISITION,A2R,KR,automated,Bank,FA-C001-2022-000968,2,1863817.0,1863817.0,"1500,2000",유형자산 취득 ref-KR | C001:설비 취득
a5952709-d22f-4368-ad46-52bce156bdf7,C001,2024,1,2024-01-03 17:57:15,A2R_ASSET_ACQUISITION,A2R,KR,manual,InternalDepartment,FA-C001-2024-000853,2,507329.0,507329.0,"1500,2000",CAPEX 계상 [KR] | 유형자산 취득 ref-KR
721fb696-d8ac-4a93-8f44-ec3b282b2d82,C001,2023,2,2023-02-21 18:38:32,A2R_ASSET_ACQUISITION,A2R,KR,recurring,InternalDepartment,FA-C001-2023-000667,2,55879.0,55879.0,"1500,1000",설비 취득 ref-KR | 유형자산 취득 [KR]
b274ebc8-02d7-4167-8c72-0748a86d4125,C001,2024,1,2024-01-10 16:19:01,A2R_DEPRECIATION,A2R,AF,adjustment,InternalDepartment,FA-C001-2024-000013-C001-2024-AF-000029,2,18350.0,18350.0,"6000,1510",C001:상각비 계상 | C001:감가상각누계액
b3e80e58-6216-40b8-89f8-bc577eebd3a5,C001,2024,7,2024-07-31 09:24:16,A2R_DEPRECIATION,A2R,AF,automated,InternalDepartment,FA-C001-2024-000977-C001-2024-AF-000624,2,179321.0,179321.0,"6050,1510",감가상각비 [AF] | 감가상각비
6fbac6c8-b0a4-4c2a-bbe2-e87e98ea79b8,C001,2023,12,2023-12-04 15:38:58,A2R_DEPRECIATION,A2R,AF,manual,InternalDepartment,FA-C001-2023-000330,2,446459.0,446459.0,"6000,1510",C001:상각비 계상 | 감가상각누계액
4fcff031-3f28-4af3-afc5-0033143e9874,C001,2023,1,2023-01-29 15:43:20,A2R_DEPRECIATION,A2R,AF,recurring,InternalDepartment,FA-C001-2023-000390,4,2961676.0,2961676.0,"1510,6000,6050",fixed asset depreciation batch | 감가상각비 ref-AF | 월차 감가상각 | C001:월차 감가상각
019f6dc7-da42-7ce0-9d54-870e57c7c63e,C001,2024,6,2024-06-28 04:42:18,A2R_DEPRECIATION,A2R,SA,recurring,InternalDepartment,DEPR-202406-C001-0603,111,3349955659.0,3349955659.0,"6050,6000,1510",C001:월차 감가상각 | C001:감가상각누계액 | C001:감가상각비 | C001:상각비 계상
9556ca09-3f16-42ef-9dfc-57a9c9764414,C001,2023,4,2023-04-10 09:55:00,A2R_DEV_CAPITALIZATION,A2R,SA,adjustment,InternalDepartment,FA-C001-2023-000288-C001-2023-SA-004076,2,1580000.0,1580000.0,"1550,6700",설비 취득 [SA] | 유형자산 취득 [SA]
