document_id,company_code,fiscal_year,fiscal_period,posting_date,semantic_scenario_id,business_process,document_type,source,counterparty_type,reference,line_count,debit_total,credit_total,top_gl_accounts,line_text_sample
42b876e7-98a8-4344-b09a-ef37458161c2,C001,2022,11,2022-11-22 09:41:43,A2R_ASSET_ACQUISITION,A2R,AA,adjustment,InternalDepartment,FA-C001-2022-000193-C001-2022-AA-004079,2,11229950.0,11229950.0,"1500,1000",C001:CAPEX 계상 | 설비 취득 [AA]
52e4e8a7-c18e-47b4-9b3d-a5037ec13edb,C001,2023,6,2023-06-13 04:19:46,A2R_ASSET_ACQUISITION,A2R,AA,automated,VendorFixedAsset,FA-C001-2023-000883-C001-2023-AA-002053,2,798436.0,798436.0,"1550,1000",CAPEX 계상 [AA] | 설비 취득 ref-AA
c2fe5ad6-9141-4948-bc8f-5b219f948c8b,C001,2022,8,2022-08-11 05:50:12,A2R_ASSET_ACQUISITION,A2R,AA,manual,InternalDepartment,FA-C001-2022-001532,2,73423380.0,73423380.0,"1550,2900",C001:유형자산 취득 | 유형자산 취득
598c3b37-98aa-4068-a2f6-d20703a02773,C001,2023,12,2023-12-27 04:11:54,A2R_ASSET_ACQUISITION,A2R,AA,recurring,InternalDepartment,FA-C001-2023-001435-C001-2023-AA-004527,3,7174466.0,7174466.0,"2900,1550",설비 취득 | 유형자산 취득 | C001:CAPEX 계상
0a2f480b-54ed-495f-b8b7-a7035c4de426,C001,2023,3,2023-03-30 14:54:44,A2R_ASSET_ACQUISITION,A2R,KR,adjustment,InternalDepartment,FA-C001-2023-000007-C001-2023-KR-001760,2,4869373.0,4869373.0,"1550,2000",CAPEX 계상 ref-KR | 유형자산 취득 [KR]
0364bd30-f583-49d7-bbad-09867ea9504f,C001,2024,12,2024-12-24 16:51:29,A2R_ASSET_ACQUISITION,A2R,KR,automated,InternalDepartment,FA-C001-2024-001245-C001-2024-KR-007640,2,2306060.0,2306060.0,"1550,1000",설비 취득 ref-KR | C001:CAPEX 계상
9a2f1957-b8ad-48c3-b729-1c680b0fd45d,C001,2023,6,2023-06-08 17:21:13,A2R_ASSET_ACQUISITION,A2R,KR,manual,Bank,FA-C001-2023-000726,2,21174.0,21174.0,"1500,2900",유형자산 취득 ref-KR | CAPEX 계상
c9290d12-7591-45df-b1ec-bae3f094daf4,C001,2022,8,2022-08-11 10:59:11,A2R_ASSET_ACQUISITION,A2R,KR,recurring,InternalDepartment,FA-C001-2022-000818-C001-2022-KR-004507,2,7887000.0,7887000.0,"1550,1000",CAPEX 계상 [KR] | 설비 취득 ref-KR
1d061d31-1f56-406c-adcf-29e670e5f691,C001,2024,1,2024-01-19 07:07:27,A2R_DEPRECIATION,A2R,AF,adjustment,InternalDepartment,FA-C001-2024-000344-C001-2024-AF-000516,2,4756585.0,4756585.0,"6000,1510",감가상각비 | C001:감가상각비
0c3923c9-74c0-49c8-bf14-54e9f1ba8951,C001,2024,12,2024-12-12 17:52:23,A2R_DEPRECIATION,A2R,AF,automated,InternalDepartment,,5,717678.0,717678.0,"1510,6000,6050",C001:상각비 계상 | 감가상각누계액 rec-AF | 상각비 계상 [AF] | 상각비 계상 ref-AF
38ae1812-e7c3-4f78-ba4e-4ba8efe0de75,C001,2024,3,2024-03-05 15:41:48,A2R_DEPRECIATION,A2R,AF,manual,InternalDepartment,FA-C001-2024-000621-C001-2024-AF-001818,2,1321010.0,1321010.0,"6000,1510",감가상각비 [AF] | 
be7af694-737e-4e32-aa48-c2ed74b66104,C001,2022,6,2022-06-20 04:51:50,A2R_DEPRECIATION,A2R,AF,recurring,InternalDepartment,FA-C001-2022-000269-C001-2022-AF-004730,4,24451390.0,24451390.0,"1510,6000,6050",상각비 계상 [AF] | 감가상각누계액 ref-AF | C001:월차 감가상각 | 감가상각비 ref-AF
019f65f3-539f-7891-b7b2-5848bc6c282b,C001,2023,6,2023-06-28 03:30:30,A2R_DEPRECIATION,A2R,SA,recurring,InternalDepartment,DEPR-202306-C001-2024,111,3197436093.0,3197436093.0,"6050,6000,1510",C001:상각비 계상 | 상각비 계상 [AF] | 감가상각비 ref-AF | 감가상각누계액 ref-AF
f439d47c-ddba-4ce6-97fb-ffd44125ddfb,C001,2023,3,2023-03-23 08:50:00,H2R_PAYROLL_ACCRUAL,H2R,HR,adjustment,PayrollProvider,EXP-C001-2023-001277-C001-2023-HR-000890,2,879400.0,879400.0,"6100,2120",급여 비용 ref-HR | 급여세 예수금 ref-HR
c7d37a86-bcad-48b7-b787-6d3128fc7791,C001,2024,7,2024-07-17 11:19:51,H2R_PAYROLL_ACCRUAL,H2R,HR,automated,TaxAuthority,EXP-C001-2024-000599-C001-2024-HR-002309,2,18119504.0,18119504.0,"5200,2120",생산직 급여 [HR] | C001:4대보험 회사부담분
e6af0c97-7423-423e-bb5a-488e90e966e1,C001,2022,1,2022-01-23 19:54:58,H2R_PAYROLL_ACCRUAL,H2R,HR,manual,InternalDepartment,EXP-C001-2022-000375-C001-2022-HR-000194,2,2020032.0,2020032.0,"6100,2120",급여 비용 ref-HR | 원천세 계상 [HR]
4896ce36-89b5-4436-aaee-0208da93472e,C001,2022,9,2022-09-30 13:46:26,H2R_PAYROLL_ACCRUAL,H2R,HR,recurring,Employee,EXP-C001-2022-001245-C001-2022-HR-003199,3,3361115.0,3361115.0,"2120,6100",급여 비용 | C001:원천세 계상 | 원천세 계상
e92e7667-8c66-4e9e-90eb-828ab3f932cc,C001,2023,8,2023-08-18 10:49:47,H2R_PAYROLL_PAYMENT,H2R,BK,adjustment,PayrollProvider,EXP-C001-2023-000065,2,9539000.0,9539000.0,"2210,1000",원천세 납부 ref-BK | 급여 미지급금 반제 ref-BK
2221c058-adbc-4999-851e-ec652509abcf,C001,2024,3,2024-03-12 18:04:20,H2R_PAYROLL_PAYMENT,H2R,BK,automated,Bank,EXP-C001-2024-000275,2,128532871.0,128532871.0,"2210,1000",급여 대금 지급 ref-BK | 원천세 납부 [BK]
dc2d281f-63cb-440e-af48-91156a76fad4,C001,2023,6,2023-06-16 18:24:27,H2R_PAYROLL_PAYMENT,H2R,BK,manual,PayrollProvider,EXP-C001-2023-000592,2,2071620.0,2071620.0,"2120,1000",급여 미지급금 반제 ref-BK | C001:급여 이체
581f4e36-4629-4427-b6d5-c48baa2d4d6d,C001,2024,12,2024-12-03 16:12:38,H2R_PAYROLL_PAYMENT,H2R,BK,recurring,Bank,EXP-C001-2024-000976-C001-2024-BK-007370,2,376521.0,376521.0,"2120,1000",급여 이체 [BK] | 급여 이체 ref-BK
e5193b18-e4f3-4507-8f81-b35fe463c26e,C001,2022,7,2022-07-19 11:12:29,H2R_PAYROLL_PAYMENT,H2R,HR,adjustment,TaxAuthority,EXP-C001-2022-001268,2,17124435.0,17124435.0,"2120,1000",급여 미지급금 반제 [HR] | 급여 미지급금 반제
db66b649-abee-4812-a44c-32c3e6d8ffce,C001,2022,1,2022-01-14 17:27:37,H2R_PAYROLL_PAYMENT,H2R,HR,automated,PayrollProvider,EXP-C001-2022-000684-C001-2022-HR-000129,2,127042.0,127042.0,"2210,1000",급여 대금 지급 ref-HR | 급여 미지급금 반제
de2ca105-c16d-4a7f-8225-87ab99788395,C001,2024,3,2024-03-06 17:25:52,H2R_PAYROLL_PAYMENT,H2R,HR,manual,PayrollProvider,EXP-C001-2024-000811-C001-2024-HR-000726,2,2449.0,2449.0,"2120,1000",급여 미지급금 반제 ref-HR | 원천세 납부 ref-HR
107f6d38-5b43-4f7a-895f-06f1d58e11a1,C001,2022,7,2022-07-04 10:43:58,H2R_PAYROLL_PAYMENT,H2R,HR,recurring,TaxAuthority,EXP-C001-2022-000621,2,35974395.0,35974395.0,"2120,1000",원천세 납부 ref-HR
c0d47ad0-9c4f-4c18-b720-9266da2d912f,C001,2023,4,2023-04-05 13:05:50,H2R_PAYROLL_PAYMENT,H2R,KZ,adjustment,Bank,EXP-C001-2023-000680,2,4758650.0,4758650.0,"2210,1000",급여 대금 지급 ref-KZ | 원천세 납부 [KZ]
6c8ce832-fb11-4720-94ea-291e762e3d47,C001,2022,1,2022-01-25 19:37:45,H2R_PAYROLL_PAYMENT,H2R,KZ,automated,PayrollProvider,EXP-C001-2022-000089,2,99530.0,99530.0,"2120,1000",급여 대금 지급 ref-KZ
1e8cb10f-24cd-4299-8e0a-ea0af24d47f3,C001,2024,4,2024-04-15 13:31:13,H2R_PAYROLL_PAYMENT,H2R,KZ,manual,PayrollProvider,EXP-C001-2024-001173-C001-2024-KZ-000687,2,699346.0,699346.0,"2210,1000",급여 미지급금 반제 ref-KZ | 원천세 납부 [KZ]
98c16129-85b3-4402-abe6-002a05607f51,C001,2024,10,2024-10-09 13:41:32,H2R_PAYROLL_PAYMENT,H2R,KZ,recurring,TaxAuthority,EXP-C001-2024-000673-C001-2024-KZ-001902,2,3589372.0,3589372.0,"2210,1000",급여 대금 지급 ref-KZ | 급여 대금 지급 [KZ]
019f65f3-5040-7960-aa16-b15d06a5b4f4,C001,2022,7,2022-07-25 03:49:31,H2R_PAYROLL_PAYMENT,H2R,SA,automated,PayrollProvider,PAYRUN-202207-C001-2024,141,2855164683.0,2855164683.0,"2120,2210,1000",급여 대금 지급 [HR] | 급여 이체 [KZ] | 급여 미지급금 반제 ref-BK | 급여 이체
3d99fbd8-8a67-40bd-a713-d0ed2ee71713,C001,2024,9,2024-09-11 15:44:31,O2C_CASH_RECEIPT,O2C,BK,adjustment,Bank,S-C001-2024-001841,2,481630.0,481630.0,"1000,1100",고객 대금 수금 | C001:고객 입금 반제
8b1bfb1b-eef0-43da-87f4-b9c2f3ee2349,C001,2023,6,2023-06-29 18:03:10,O2C_CASH_RECEIPT,O2C,BK,automated,Customer,SO-C001-2023-001259-C001-2023-BK-004026,3,17850204.0,17850204.0,"1100,1000",고객 입금 반제 [BK] | 고객 입금 반제 | 매출채권 회수 [BK]
e677454d-44c5-4d4a-941e-b8774e379210,C001,2022,1,2022-01-20 15:07:55,O2C_CASH_RECEIPT,O2C,BK,manual,Customer,SO-C001-2022-000476,2,10438000.0,10438000.0,"1000,1100",C001:고객 대금 수금 | 고객 입금 반제 [BK]
5be6830a-ed85-4382-8de3-4fef99ca6ec3,C001,2024,3,2024-03-04 10:13:16,O2C_CASH_RECEIPT,O2C,BK,recurring,Customer,SO-C001-2024-002365-C001-2024-BK-001343,2,48283.0,48283.0,"1000,1100",매출채권 회수 ref-BK | C001:매출채권 회수
78cf82e3-aee9-40f8-966a-216c3fdb6766,C001,2024,4,2024-04-04 10:40:30,O2C_CASH_RECEIPT,O2C,DZ,adjustment,Bank,SO-C001-2024-001960,2,74370000.0,74370000.0,"1000,1100",고객 대금 수금
56b69551-7e77-44e5-a857-5b2b7782eb0f,C001,2022,1,2022-01-11 08:38:01,O2C_CASH_RECEIPT,O2C,DZ,automated,Customer,SO-C001-2022-001318-C001-2022-DZ-000040,3,336534.0,336534.0,"1100,1000",C001:고객 입금 반제 | 고객 대금 수금 [DZ]
485839e4-a00d-40a1-b5f0-0f733f505aa8,C001,2022,10,2022-10-27 15:47:57,O2C_CASH_RECEIPT,O2C,DZ,manual,Customer,SO-C001-2022-001893-C001-2022-DZ-001847,4,106696444.0,106696444.0,"1000,1100",고객 입금 반제 | 매출채권 회수 | C001:고객 입금 반제 | 
3a801b73-7fac-4f04-8419-0239e52324d2,C001,2024,7,2024-07-25 15:18:05,O2C_CASH_RECEIPT,O2C,DZ,recurring,Customer,SO-C001-2024-000640,2,1869065.0,1869065.0,"1000,1100",매출채권 회수 | C001:고객 대금 수금
fd805d5c-65a3-456b-add3-716ca19ffc53,C001,2024,5,2024-05-29 16:06:21,O2C_CUSTOMER_INVOICE,O2C,DR,adjustment,Customer,SO-C001-2024-000698-C001-2024-DR-009548,3,527702.0,527702.0,"1100,4100,2110",고객 매출 청구 [DR] | 매출채권 인식 | 매출세액
0ba78be5-4175-4572-bd5d-e48677e18905,C001,2023,5,2023-05-15 08:32:55,O2C_CUSTOMER_INVOICE,O2C,DR,automated,Customer,SO-C001-2023-002585-C001-2023-DR-008352,4,214933.0,214933.0,"4100,1100,2110",C001:매출채권 인식 | 고객 매출 청구 [DR] | 제품 매출 | 매출세액
f8399e19-127d-432e-a054-dd7468d3d41b,C001,2024,9,2024-09-18 18:19:01,O2C_CUSTOMER_INVOICE,O2C,DR,manual,Customer,SO-C001-2024-001512-C001-2024-DR-016486,5,256955.0,256955.0,"1100,4000,2110",고객 매출 청구 ref-DR | 제품 매출 [DR] | 매출채권 인식 | 제품 매출
f3a9a560-b296-4235-862c-9137014eac4b,C001,2023,3,2023-03-28 09:49:23,O2C_CUSTOMER_INVOICE,O2C,DR,recurring,Customer,SO-C001-2023-000830-C001-2023-DR-005328,3,7615467.0,7615467.0,"1100,4000,2110",제품 매출 [DR] | 제품 매출 | 매출세액
4d80a45d-3025-41f4-9d0c-4109688a3af3,C001,2023,8,2023-08-10 11:05:52,P2P_PAYMENT,P2P,BK,adjustment,VendorRawMaterial,PO-C001-2023-000274-C001-2023-BK-004908,2,1835242.0,1835242.0,"2000,1000",거래처 대금 지급 [BK] | 거래처 대금 지급 ref-BK
54185e63-02c1-407c-adbf-13f91757e7de,C001,2024,8,2024-08-13 09:29:18,P2P_PAYMENT,P2P,BK,automated,VendorRawMaterial,PO-C001-2024-000335-C001-2024-BK-004886,2,350760.0,350760.0,"2200,1000",구매대금 지급 [BK] | 거래처 대금 지급 ref-BK
6d6439ed-7701-4f5a-b5bc-17ab08cd159f,C001,2024,11,2024-11-18 00:19:33,P2P_PAYMENT,P2P,BK,manual,VendorOfficeSupplies,PO-C001-2024-000485-C001-2024-BK-007029,2,2364284.0,2364284.0,"2200,1000",거래처 대금 지급 [BK] | 구매대금 지급 ref-BK
092eb8b9-4f33-49f8-990d-616a5a203088,C001,2024,3,2024-03-28 17:37:20,P2P_PAYMENT,P2P,BK,recurring,VendorRawMaterial,PO-C001-2024-000328,2,90400.0,90400.0,"2200,1000",매입채무 결제 ref-BK | 거래처 대금 지급 ref-BK
